101,SUMATERA UTARA,SERDANG BEDAGAI,TELUK MENGKUDU,SIALANG BUAH,"Jl. Pantai Indah Sialang Buah, Desa Sialang Buah, Kec. Teluk Mengkudu, Kab. Serdang Bedagai, Sumatera Utara",SPPG Serdang Bedagai Teluk Mengkudu Sialang Buah
102,JAMBI,MUARO JAMBI,JAMBI LUAR KOTA,MUARO PIJOAN,"Jl. Jambi Muaro Bulian, Simpang Taman Setiti, Desa Muaro Pijoan, Kecamatan Jambi Luar Kota, Kabupaten Muaro Jambi, Jambi",SPPG Muaro Jambi Jambi Luar Kota Muaro Pijoan
103,JAWA TENGAH,PATI,GEMBONG,WONOSEKAR,"Wonosekar, Kecamatan Gembong, Kabupaten Pati, Jawa Tengah",SPPG Pati Gembong Wonosekar
104,JAWA BARAT,PURWAKARTA,PASAWAHAN,PASAWAHAN,"Kp. Bungurjaya RT08/04 Ds. Pasawahan Kec. Pasawahan Kab. Purwakarta, Jawa Barat",SPPG Purwakarta Pasawahan Pasawahan 2
105,JAWA BARAT,GARUT,SUKAWENING,MARIPARI,"Maripari, Kecamatan Sukawening, Kabupaten Garut, Jawa Barat",SPPG Garut Sukawening Maripari 2
106,SUMATERA SELATAN,KOTA PALEMBANG,KALIDONI,KALIDONI,"Jl. K.H. Wahab Saidy Rt. 037 Rw. 007, Kalidoni, Kec. Kalidoni, Kota Palembang, Sumatera Selatan",SPPG Kota Palembang Kalidoni Kalidoni 6
107,JAWA BARAT,SUBANG,CIPEUNDEUY,CIPEUNDEUY,"Kp. Cipeundeuy RT/RW 13/04, CIPEUNDEUY, CIPEUNDEUY, KAB. SUBANG, JAWA BARAT",SPPG Subang Cipeundeuy Cipeundeuy
108,JAWA BARAT,BOGOR,JASINGA,JASINGA,"Kampung Babakan No 50 Rt 03 Rw 04, Jasinga, Kec. Jasinga, Kab. Bogor, Jawa Barat",SPPG Bogor Jasinga Jasinga
109,JAWA TENGAH,WONOGIRI,BATURETNO,SARADAN,"Dusun Gedawung Rt.004 Rw.009 Desa Saradan Kecamatan Baturetno Kabupaten Wonogiri, Jawa Tengah",SPPG Wonogiri Baturetno Saradan
110,JAWA TENGAH,GROBOGAN,TOROH,DEPOK,"Depok, Kecamatan Toroh, Kabupaten Grobogan, Jawa Tengah",SPPG Grobogan Toroh Depok 2
No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
